Los Angeles Memorial Coliseum
Miami Orange Bowl
Miami Orange Bowl
Tulane Stadium
Miami Orange Bowl
Tulane Stadium
Los Angeles Memorial Coliseum
Rice Stadium
Tulane Stadium
Miami Orange Bowl
Rose Bowl
Louisiana Superdome
Miami Orange Bowl
Rose Bowl
Louisiana Superdome
Pontiac Silverdome
Rose Bowl
Tampa Stadium
Stanford Stadium
Louisiana Superdome
Rose Bowl
San Diego–Jack Murphy Stadium
Joe Robbie Stadium
Louisiana Superdome
Tampa Stadium
Metrodome
Rose Bowl
Georgia Dome
Joe Robbie Stadium
Sun Devil Stadium
Louisiana Superdome
Qualcomm Stadium
Pro Player Stadium
Georgia Dome
Raymond James Stadium
Louisiana Superdome
Qualcomm Stadium
Reliant Stadium
Alltel Stadium
Ford Field
Dolphin Stadium
University of Phoenix Stadium
Raymond James Stadium
Sun Life Stadium
Cowboys Stadium
Lucas Oil Stadium
Mercedes-Benz Superdome
MetLife Stadium
University of Phoenix Stadium
Levi’s Stadium
NRG Stadium
U.S. Bank Stadium
Mercedes-Benz Stadium
Hard Rock Stadium
Raymond James Stadium
SoFi Stadium
State Farm Stadium
Mercedes-Benz Stadium
Superdome Stadium
